,Full description,Units,Data source,Ameriflux variable name
7,NetEcosystemExchange_28m,umol/m2/s,NaN,NEE
8,CO2Flux_AbvCnpy_28m,umol/m2/s,NaN,FC
9,LatentHeatFlux_AbvCnpy_28m,W/m2,NaN,LE
10,SensibleHeatFlux_AbvCnpy_28m,W/m2,NaN,H
11,FrictionVelocity_AbvCnpy_28m,m/s,NaN,USTAR
12,CO2StorageFlux_GndtoTop,umol/m2/s,NaN,SC
16,EddyCovariance_CO2_AbvCnpy_28m,ppm,NaN,CO2_1_1_1
17,LI820_CO2_Cnpy_14m,ppm,NaN,CO2_1_2_1
18,GapFilledPIPref_LE,W/m2,New_SiteSpec,LE_F
19,GapFilledPIPref_H,W/m2,New_SiteSpec,H_F
24,LI800_CO2_BlwCnpy_2m,ppm,Final_Cleaned,CO2_1_3_1
31,H2O_CPEC,mmol/mol,Final_Cleaned,H2O
32,SensibleHeatStorageFlux_AbvCnpy_0to28m,W/m2,Final_Calculated,SH
33,SoilHeatFlux_0cm,W/m2,Calculated4,G_F_1
39,CNR1_NetRad_AbvCnpy_28m,W/m2,Final_Cleaned,NETRAD_1_1_1
40,NRLite_NetRad_BlwCnpy_2m,W/m2,Final_Cleaned,NETRAD_1_2_1
41,CNR1_GlobalShortwaveRad_AbvCnpy_28m,W/m2,Final_Cleaned,SW_IN
42,CNR1_UpShortwaveRad_AbvCnpy_28m,W/m2,Final_Cleaned,SW_OUT
43,CNR1_DownLongwaveRad_AbvCnpy_28m,W/m2,Final_Cleaned,LW_IN
44,CNR1_UpLongwaveRad_AbvCnpy_28m,W/m2,Final_Cleaned,LW_OUT
45,CNR1_DownLongwaveRad_Cnpy_14m,W/m2,Final_Cleaned,LW_BC_IN
46,CNR1_UpLongwaveRad_Cnpy_14m,W/m2,Final_Cleaned,LW_BC_OUT
47,DownPAR_AbvCnpy_28m,umol/m2/s,Final_Cleaned,PPFD_IN
48,UpPAR_AbvCnpy_28m,umol/m2/s,Final_Cleaned,PPFD_OUT
49,DownPAR_BlwCnpy_2m,umol/m2/s,Final_Cleaned,PPFD_BC_IN
50,Aspirated_AirTemp_AbvCnpy_28m,degC,Final_Cleaned,TA_1_1_1
51,Aspirated_AirTemp_Cnpy_14m,degC,Final_Cleaned,TA_1_2_1
52,Aspirated_AirTemp_BlwCnpy_2m,degC,Final_Cleaned,TA_1_3_1
53,Aspirated_RelHum_AbvCnpy_28m,%,Final_Cleaned,RH_1_1_1
54,Aspirated_RelHum_Cnpy_14m,%,Final_Cleaned,RH_1_2_1
55,Aspirated_RelHum_BlwCnpy_2m,%,Final_Cleaned,RH_1_3_1
56,WindSpd_AbvCnpy_28m,m/s,Final_Cleaned,WS
57,WindDir_AbvCnpy_28m,deg,Final_Cleaned,WD
58,SurfPress,kPa,Final_Cleaned,PA
60,SoilTemp_A_2cm,degC,Final_Cleaned,TS_1_1_1
61,SoilTemp_A_5cm,degC,Final_Cleaned,TS_1_2_1
62,SoilTemp_A_10cm,degC,Final_Cleaned,TS_1_3_1
63,SoilTemp_A_20cm,degC,Final_Cleaned,TS_1_4_1
64,SoilTemp_A_50cm,degC,Final_Cleaned,TS_1_5_1
65,SoilTemp_A_100cm,degC,Final_Cleaned,TS_1_6_1
66,SoilTemp_B_2cm,degC,Final_Cleaned,TS_2_1_1
67,SoilTemp_B_5cm,degC,Final_Cleaned,TS_2_2_1
68,SoilTemp_B_10cm,degC,Final_Cleaned,TS_2_3_1
69,SoilTemp_B_20cm,degC,Final_Cleaned,TS_2_4_1
70,SoilTemp_B_50cm,degC,Final_Cleaned,TS_2_5_1
71,SoilTemp_B_100cm,degC,Final_Cleaned,TS_2_6_1
72,VWC_A_5cm,m3/m3,Final_Cleaned,SWC_1_1_1
73,VWC_A_10cm,m3/m3,Final_Cleaned,SWC_1_2_1
74,VWC_A_20cm,m3/m3,Final_Cleaned,SWC_1_3_1
75,VWC_A_50cm,m3/m3,Final_Cleaned,SWC_1_4_1
76,VWC_A_100cm,m3/m3,Final_Cleaned,SWC_1_5_1
77,VWC_B_5cm,m3/m3,Final_Cleaned,SWC_2_1_1
78,VWC_B_10cm,m3/m3,Final_Cleaned,SWC_2_2_1
79,VWC_B_20cm,m3/m3,Final_Cleaned,SWC_2_3_1
80,VWC_B_50cm,m3/m3,Final_Cleaned,SWC_2_4_1
81,VWC_B_100cm,m3/m3,Final_Cleaned,SWC_2_5_1
82,SoilHeatFluxPlate_A_3cm,W/m2,Final_Cleaned,G_1_1_1
83,SoilHeatFluxPlate_B_3cm,W/m2,Final_Cleaned,G_2_1_1
106,AirTemp_AbvCnpy_28m,degC,Final_Filled,TA_F_1_1_1
107,RelHum_AbvCnpy_28m,%,Final_Filled,RH_F_1_1_1
108,DownPAR_AbvCnpy_28m,umol/m2/s,Final_Filled,PPFD_IN_F
109,WindSpd_AbvCnpy_28m,m/s,Final_Filled,WS_F
110,SurfPress,kPa,Final_Filled,PA_F
111,FourWay_NetRad_AbvCnpy_28m,W/m2,Final_Filled,NETRAD_F
112,CNR1_GlobalShortwaveRad_AbvCnpy_28m,W/m2,Final_Filled,SW_IN_F
113,SoilTemp_2cm,degC,Final_Filled,TS_F_1
114,SoilTemp_5cm,degC,Final_Filled,TS_F_2
115,SoilTemp_10cm,degC,Final_Filled,TS_F_3
116,SoilTemp_20cm,degC,Final_Filled,TS_F_4
117,SoilTemp_50cm,degC,Final_Filled,TS_F_5
118,SoilTemp_100cm,degC,Final_Filled,TS_F_6
123,GEONOR_PPT,mm,Final_Filled,P
124,CNR1_DownLongwaveRad_AbvCnpy_28m,W/m2,Final_Filled,LW_IN_F
125,SnowDepth_BlwCnpy,m,Final_Cleaned,D_SNOW
142,OTT_WaterTableDepth,m_blw_sfc,Final_Calculated,WTD
156,w_std_CPEC,m/s,Final_Cleaned,W_SIGMA
157,v_std_CPEC,m/s,Final_Cleaned,V_SIGMA
159,GapFilledPIPref_GEP,umol/m2/s,SiteSpec_region,GPP_F
160,GapFilledPIPref_R,umol/m2/s,SiteSpec_region,RECO_F
161,GapFilledPIPref_NEE,umol/m2/s,SiteSpec_region,NEE_F
183,TBRG_Rain_Tower_28m,mm,Final_Filled,P_RAIN_F
184,VapourPressureDeficit_AbvCnpy,hPa,Final_Filled,VPD_F
