Year,UTC,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,NaN,NaN
Month,UTC,Month,Month,Month,NaN,NaN,Month,Month,Month,Month,Month,NaN,NaN
Day,UTC,Day,Day,Day,NaN,NaN,Day,Day,Day,Day,Day,NaN,NaN
Hour,UTC,Hour,Hour,Hour,NaN,NaN,Hour,Hour,Hour,Hour,Hour,NaN,NaN
Minute,UTC,Minute,Minute,Minute,NaN,NaN,Minute,Minute,Minute,Minute,Minute,NaN,NaN
DTIME,UTC,dt,dt,dt,NaN,NaN,dt,dt,dt,dt,dt,NaN,NaN
SoilHeatFluxPlate_A_3cm,W/m2,H_FluxA,met,Final_Cleaned,NaN,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_1_1_1
SoilHeatFluxPlate_B_3cm,W/m2,H_FluxB,met,Final_Cleaned,NaN,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_2_1_1
SoilTemp_DR_5cm,degC,Ts_DR5_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_1_1_1
SoilTemp_DR_20cm,degC,Ts_DR20_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_1_2_1
SoilTemp_DR_50cm,degC,Ts_DR50_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_1_3_1
SoilTemp_REF_5cm,degC,Ts_REF5_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_1_1
SoilTemp_REF_20cm_A,degC,Ts_REF20A_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_2_1
SoilTemp_REF_50cm,degC,Ts_REF50_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_3_1
SoilTemp_REF_20cm_B,degC,Ts_REF20B_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_2_2_2
SoilTemp_NL_5cm,degC,Ts_NonLitter_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TS_3_1_1
AirTemp_DR_10cm,degC,Ts_DR_Ta_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TA_1_1_1
AirTemp_REF_10cm,degC,Ts_REF_Ta_AVG,met,Final_Cleaned,NaN,%6.3f,NaN,NaN,NaN,NaN,NaN,NaN,TA_2_1_1
VWC_DR_5cm,m3/m3,SM_DR5_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_1_1_1
VWC_DR_20cm,m3/m3,SM_DR20_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_1_2_1
VWC_DR_50cm,m3/m3,SM_DR50_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_1_3_1
VWC_REF_5cm,m3/m3,SM_REF5_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_2_1_1
VWC_REF_20cm,m3/m3,SM_REF20_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_2_2_1
VWC_REF_50cm,m3/m3,SM_REF50_AVG,met,Final_Cleaned,NaN,%6.4f,NaN,NaN,NaN,NaN,NaN,NaN,SWC_2_3_1
Sapflow_Velocity_Tree1,m/s,Js_clean1,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree2,m/s,Js_clean2,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree3,m/s,Js_clean3,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree4,m/s,Js_clean4,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree5,m/s,Js_clean5,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree6,m/s,Js_clean6,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree7,m/s,Js_clean7,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree8,m/s,Js_clean8,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree9,m/s,Js_clean9,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree10,m/s,Js_clean10,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree11,m/s,Js_clean11,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree12,m/s,Js_clean12,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree13,m/s,Js_clean13,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree14,m/s,Js_clean14,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree15,m/s,Js_clean15,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree16,m/s,Js_clean16,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree17,m/s,Js_clean17,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree18,m/s,Js_clean18,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree19,m/s,Js_clean19,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree20,m/s,Js_clean20,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree21,m/s,Js_clean21,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree22,m/s,Js_clean22,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree23,m/s,Js_clean23,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree24,m/s,Js_clean24,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Velocity_Tree25,m/s,Js_clean25,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree1,m3/s,F_final1,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree2,m3/s,F_final2,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree3,m3/s,F_final3,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree4,m3/s,F_final4,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree5,m3/s,F_final5,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree6,m3/s,F_final6,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree7,m3/s,F_final7,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree8,m3/s,F_final8,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree9,m3/s,F_final9,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree10,m3/s,F_final10,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree11,m3/s,F_final11,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree12,m3/s,F_final12,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree13,m3/s,F_final13,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree14,m3/s,F_final14,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree15,m3/s,F_final15,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree16,m3/s,F_final16,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree17,m3/s,F_final17,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree18,m3/s,F_final18,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree19,m3/s,F_final19,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree20,m3/s,F_final20,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree21,m3/s,F_final21,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree22,m3/s,F_final22,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree23,m3/s,F_final23,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree24,m3/s,F_final24,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_Tree25,m3/s,F_final25,met,Calculated4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sapflow_mmol_Tree1,mmolH2O/m2/s,F_mmol_final1,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_1_1_1
Sapflow_mmol_Tree2,mmolH2O/m2/s,F_mmol_final2,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_2_1_1
Sapflow_mmol_Tree3,mmolH2O/m2/s,F_mmol_final3,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_3_1_1
Sapflow_mmol_Tree4,mmolH2O/m2/s,F_mmol_final4,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_4_1_1
Sapflow_mmol_Tree5,mmolH2O/m2/s,F_mmol_final5,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_5_1_1
Sapflow_mmol_Tree6,mmolH2O/m2/s,F_mmol_final6,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_6_1_1
Sapflow_mmol_Tree7,mmolH2O/m2/s,F_mmol_final7,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_7_1_1
Sapflow_mmol_Tree8,mmolH2O/m2/s,F_mmol_final8,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_8_1_1
Sapflow_mmol_Tree9,mmolH2O/m2/s,F_mmol_final9,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_9_1_1
Sapflow_mmol_Tree10,mmolH2O/m2/s,F_mmol_final10,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_10_1_1
Sapflow_mmol_Tree11,mmolH2O/m2/s,F_mmol_final11,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_11_1_1
Sapflow_mmol_Tree12,mmolH2O/m2/s,F_mmol_final12,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_12_1_1
Sapflow_mmol_Tree13,mmolH2O/m2/s,F_mmol_final13,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_13_1_1
Sapflow_mmol_Tree14,mmolH2O/m2/s,F_mmol_final14,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_14_1_1
Sapflow_mmol_Tree15,mmolH2O/m2/s,F_mmol_final15,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_15_1_1
Sapflow_mmol_Tree16,mmolH2O/m2/s,F_mmol_final16,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_16_1_1
Sapflow_mmol_Tree17,mmolH2O/m2/s,F_mmol_final17,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_17_1_1
Sapflow_mmol_Tree18,mmolH2O/m2/s,F_mmol_final18,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_18_1_1
Sapflow_mmol_Tree19,mmolH2O/m2/s,F_mmol_final19,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_19_1_1
Sapflow_mmol_Tree20,mmolH2O/m2/s,F_mmol_final20,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_20_1_1
Sapflow_mmol_Tree21,mmolH2O/m2/s,F_mmol_final21,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_21_1_1
Sapflow_mmol_Tree22,mmolH2O/m2/s,F_mmol_final22,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_22_1_1
Sapflow_mmol_Tree23,mmolH2O/m2/s,F_mmol_final23,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_23_1_1
Sapflow_mmol_Tree24,mmolH2O/m2/s,F_mmol_final24,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_24_1_1
Sapflow_mmol_Tree25,mmolH2O/m2/s,F_mmol_final25,met,Calculated4,NaN,%8.3f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_FLOW_25_1_1
dT_Tree1,degC,dT_final1,met,Calculated5,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_1_1_1
dT_Tree2,degC,dT_final2,met,Calculated6,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_2_1_1
dT_Tree3,degC,dT_final3,met,Calculated7,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_3_1_1
dT_Tree4,degC,dT_final4,met,Calculated8,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_4_1_1
dT_Tree5,degC,dT_final5,met,Calculated9,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_5_1_1
dT_Tree6,degC,dT_final6,met,Calculated10,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_6_1_1
dT_Tree7,degC,dT_final7,met,Calculated11,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_7_1_1
dT_Tree8,degC,dT_final8,met,Calculated12,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_8_1_1
dT_Tree9,degC,dT_final9,met,Calculated13,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_9_1_1
dT_Tree10,degC,dT_final10,met,Calculated14,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_10_1_1
dT_Tree11,degC,dT_final11,met,Calculated15,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_11_1_1
dT_Tree12,degC,dT_final12,met,Calculated16,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_12_1_1
dT_Tree13,degC,dT_final13,met,Calculated17,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_13_1_1
dT_Tree14,degC,dT_final14,met,Calculated18,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_14_1_1
dT_Tree15,degC,dT_final15,met,Calculated19,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_15_1_1
dT_Tree16,degC,dT_final16,met,Calculated20,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_16_1_1
dT_Tree17,degC,dT_final17,met,Calculated21,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_17_1_1
dT_Tree18,degC,dT_final18,met,Calculated22,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_18_1_1
dT_Tree19,degC,dT_final19,met,Calculated23,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_19_1_1
dT_Tree20,degC,dT_final20,met,Calculated24,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_20_1_1
dT_Tree21,degC,dT_final21,met,Calculated25,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_21_1_1
dT_Tree22,degC,dT_final22,met,Calculated26,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_22_1_1
dT_Tree23,degC,dT_final23,met,Calculated27,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_23_1_1
dT_Tree24,degC,dT_final24,met,Calculated28,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_24_1_1
dT_Tree25,degC,dT_final25,met,Calculated29,NaN,%7.5f,NaN,NaN,NaN,NaN,NaN,NaN,SAP_DT_25_1_1
