Year,UTC,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,YEAR
TreeTemp_Tree18_17minBC,degC,TreeTemp_Tree18_17minBC,met,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
TreeTemp_Tree19_17minBS,degC,TreeTemp_Tree19_17minBS,met,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
TreeTemp_Tree20_27AminTN,degC,TreeTemp_Tree20_27AminTN,met,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
TreeTemp_Tree21_27Amin,degC,TreeTemp_Tree21_27Amin,met,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
TreeTemp_Tree22_27Amin,degC,TreeTemp_Tree22_27Amin,met,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
AirTemp_AbvCnpy_28m,degC,AirTemp_AbvCnpy,met,Final_Filled,Met3,%6.3f,Ta,Ta,Ta,Ta,Ta,TA
RelHum_AbvCnpy_28m,%,RelHum_AbvCnpy,met,Final_Filled,Met3,%7.3f,RH,RH,RH,RH,RH,RH
DownPAR_AbvCnpy_28m,umol/m2/s,DownPAR_AbvCnpy,met,Final_Filled,Met3,%8.3f,PAR,PAR,PAR,PAR,PAR,PAR
WindSpd_AbvCnpy_28m,m/s,WindSpd,met,Final_Filled,Met3,%6.3f,WS,WS,WS,WS,WS,WS
SurfPress,kPa,Pressure,met,Final_Filled,Met3,%7.3f,APR,APR,APR,APR,APR,PRESS
FourWay_NetRad_AbvCnpy_28m,W/m2,NetRad_AbvCnpy,met,Final_Filled,Met3,%7.3f,Rn_filled,Rn_filled,Rn_filled,NaN,Rn_filled,Rn
CNR1_GlobalShortwaveRad_AbvCnpy_28m,W/m2,DownShortWaveRad_Abv_Cnpy,met,Final_Filled,Met3,%8.3f,NaN,NaN,NaN,NaN,NaN,Rg
SoilTemp_2cm,degC,SoilTemp_2cm,met,Final_Filled,Met3,%6.3f,Ts2,Ts2,Ts2,Ts2,Ts2,TS1
SoilTemp_5cm,degC,SoilTemp_5cm,met,Final_Filled,Met3,%6.3f,Ts5,Ts5,Ts5,Ts5,Ts5,TS2
SoilTemp_10cm,degC,SoilTemp_10cm,met,Final_Filled,NaN,NaN,Ts10,Ts10,Ts10,NaN,Ts10,
SoilTemp_20cm,degC,SoilTemp_20cm,met,Final_Filled,NaN,NaN,Ts20,Ts20,Ts20,NaN,Ts20,
SoilTemp_50cm,degC,SoilTemp_50cm,met,Final_Filled,NaN,NaN,Ts50,Ts50,Ts50,NaN,Ts50,
SoilTemp_100cm,degC,SoilTemp_100cm,met,Final_Filled,NaN,NaN,Ts100,Ts100,Ts100,NaN,Ts100,
VWC_A_0_30cm_avg,m3/m3,SM_A_30_avg,met,Final_Filled,NaN,NaN,SM_a,SM_a,SM_a,SM_a,SM_a,
VWC_B_0_30cm_avg,m3/m3,SM_B_30_avg,met,Final_Filled,NaN,NaN,SM_b,SM_b,SM_b,SM_b,SM_b,
VWC_A_0_30cm,m3/m3,SM_A_30_filled,met,Final_Filled,SM3,%6.4f,SM_a_filled,SM_a_filled,SM_a_filled,SM_a_filled,SM_a_filled,
VWC_B_0_30cm,m3/m3,SM_B_30_filled,met,Final_Filled,SM3,%6.4f,SM_b_filled,SM_b_filled,SM_b_filled,SM_b_filled,SM_b_filled,
GEONOR_PPT,mm,GEO_PPT,ppt,Final_Filled,NaN,NaN,GEO_PPT,GEO_PPT,GEO_PPT,GEO_PPT,GEO_PPT,PREC
CNR1_DownLongwaveRad_AbvCnpy_28m,W/m2,DownLongwaveRad_AbvCnpy,met,Final_Filled,Met3,%6.3f,Lwdown_filled,Lwdown_filled,Lwdown_filled,Lwdown_filled,Lwdown_filled,
SnowDepth_BlwCnpy,m,SnowDepth,met,Final_Cleaned,Met2,%5.3f,NaN,Snow_Depth,Snow_Depth,NaN,Snow_Depth,
NEE_OPEC,umol/m2/s,NEE_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
GEP_filled_OPEC,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
R_filled_OPEC,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NEE_OPEC_noBurba,umol/m2/s,NEE_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FC_OPEC,umol/m2/s,Fc,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
CO2_top_OPEC,ppm,CO2_top,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
CO2_cpy_OPEC,ppm,CO2_cpy,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
LE_OPEC,W/m2,LE_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
H_OPEC,W/m2,Hs_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
LE_OPEC_noBurba,W/m2,LE_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Fc_OPEC_noBurba,umol/m2/s,Fc_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Ustar_OPEC,m/s,u_star,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
H2O_OPEC,mmol/mol,H2O_top,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
dcdt_OPEC,umol/m2/s,dcdt,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
dcdt_1h_OPEC,umol/m2/s,dcdt_1h,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
dcdt_2h_OPEC,umol/m2/s,dcdt_2h,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
OTT_WaterTableDepth,m_blw_sfc,WT_Depth,ott,Final_Calculated,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN,
OTT_WaterTemp,degC,Water_Temp,ott,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
SoilTemp_DR_5cm,degC,Ts_DR_5cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
SoilTemp_TR_5cm,degC,Ts_Tr_5cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
SoilTemp_TR_20cm,degC,Ts_Tr_20cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
VWC_DR_50cm,m3/m3,SM_DR_50cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
VWC_DR_100cm,m3/m3,SM_DR_100cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
VWC_DR2_5cm,m3/m3,SM_DR2_5cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
VWC_DR2_20cm,m3/m3,SM_DR2_20cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
VWC_DR2_50cm,m3/m3,SM_DR2_50cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
VWC_TR_0_30cm,m3/m3,SM_Tr_0_30cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
SoilWaterPot_DR_10cm,bar,SWP_DRa_10cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
SoilWaterPot_DR2_10cm,bar,SWP_DRb_10cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
SoilWaterPot_TR_10cm,bar,SWP_TR_10cm,trenched,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
w_std_CPEC,m/s,w_std,cpec,Final_Cleaned,NaN,NaN,w_std,w_std,NaN,w_std,NaN,
v_std_CPEC,m/s,v_std,cpec,Final_Cleaned,,NaN,NaN,NaN,NaN,NaN,NaN,
CO2_std_CPEC,ppm,CO2_std,cpec,Final_Cleaned,NaN,NaN,CO2_std,CO2_std,NaN,CO2_std,NaN,
GapFilledPIPref_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,SiteSpec_region,Flx3,%6.3f,NaN,GEP_filled_SiteSpec_region,GEP_filled_SiteSpec_region,NaN,GEP_filled_SiteSpec_region,GPP
GapFilledPIPref_R,umol/m2/s,RE_filled,gapfilled_NEE,SiteSpec_region,Flx3,%6.3f,NaN,R_filled_SiteSpec_region,R_filled_SiteSpec_region,NaN,R_filled_SiteSpec_region,RE
GapFilledPIPref_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,SiteSpec_region,Flx3,%6.3f,NaN,NEE_filled_SiteSpec_region,NEE_filled_SiteSpec_region,NaN,NEE_filled_SiteSpec_region,NEE
GapFilledPIPref_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,SiteSpec_inbnds,NaN,NaN,NaN,GEP_filled_SiteSpec_inbounds,GEP_filled_SiteSpec_inbounds,NaN,GEP_filled_SiteSpec_inbounds,
GapFilledPIPref_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,SiteSpec_inbnds,NaN,NaN,NaN,R_filled_SiteSpec_inbounds,R_filled_SiteSpec_inbounds,NaN,R_filled_SiteSpec_inbounds,
GapFilledPIPref_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,SiteSpec_inbnds,NaN,NaN,NaN,NEE_filled_SiteSpec_inbounds,NEE_filled_SiteSpec_inbounds,NaN,NEE_filled_SiteSpec_inbounds,
GapFilledFCRN_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,FCRN_region,NaN,NaN,NaN,GEP_filled_FCRN_region,GEP_filled_FCRN_region,NaN,GEP_filled_FCRN_region,
GapFilledFCRN_R,umol/m2/s,RE_filled,gapfilled_NEE,FCRN_region,NaN,NaN,NaN,R_filled_FCRN_region,R_filled_FCRN_region,NaN,R_filled_FCRN_region,
GapFilledFCRN_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,FCRN_region,NaN,NaN,NaN,NEE_filled_FCRN_region,NEE_filled_FCRN_region,NaN,NEE_filled_FCRN_region,
GapFilledFCRN_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,FCRN_inbnds,NaN,NaN,NaN,GEP_filled_FCRN_inbounds,GEP_filled_FCRN_inbounds,NaN,GEP_filled_FCRN_inbounds,
GapFilledFCRN_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,FCRN_inbnds,NaN,NaN,NaN,R_filled_FCRN_inbounds,R_filled_FCRN_inbounds,NaN,R_filled_FCRN_inbounds,
GapFilledFCRN_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,FCRN_inbnds,NaN,NaN,NaN,NEE_filled_FCRN_inbounds,NEE_filled_FCRN_inbounds,NaN,NEE_filled_FCRN_inbounds,
GapFilledANN_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,ANN_region,NaN,NaN,NaN,GEP_filled_ANN_region,GEP_filled_ANN_region,NaN,GEP_filled_ANN_region,
GapFilledANN_R,umol/m2/s,RE_filled,gapfilled_NEE,ANN_region,NaN,NaN,NaN,R_filled_ANN_region,R_filled_ANN_region,NaN,R_filled_ANN_region,
GapFilledANN_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,ANN_region,NaN,NaN,NaN,NEE_filled_ANN_region,NEE_filled_ANN_region,NaN,NEE_filled_ANN_region,
GapFilledANN_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,ANN_inbnds,NaN,NaN,NaN,GEP_filled_ANN_inbounds,GEP_filled_ANN_inbounds,NaN,GEP_filled_ANN_inbounds,
GapFilledANN_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,ANN_inbnds,NaN,NaN,NaN,R_filled_ANN_inbounds,R_filled_ANN_inbounds,NaN,R_filled_ANN_inbounds,
GapFilledANN_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,ANN_inbnds,NaN,NaN,NaN,NEE_filled_ANN_inbounds,NEE_filled_ANN_inbounds,NaN,NEE_filled_ANN_inbounds,
Kljun_Regional_70flag,flag,Kljun_all70,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_70flag,Kljun_Regional_70flag,Kljun_Regional_70flag,NaN,Kljun_Regional_70flag,
Kljun_Regional_80flag,flag,Kljun_all80,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_80flag,Kljun_Regional_80flag,Kljun_Regional_80flag,NaN,Kljun_Regional_80flag,
Kljun_Regional_90flag,flag,Kljun_all90,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_90flag,Kljun_Regional_90flag,Kljun_Regional_90flag,NaN,Kljun_Regional_90flag,
Kljun_SiteOnly_70flag,flag,Kljun70,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_70flag,Kljun_SiteOnly_70flag,Kljun_SiteOnly_70flag,NaN,Kljun_SiteOnly_70flag,
Kljun_SiteOnly_75flag,flag,Kljun75,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_75flag,Kljun_SiteOnly_75flag,Kljun_SiteOnly_75flag,NaN,Kljun_SiteOnly_75flag,
Kljun_SiteOnly_80flag,flag,Kljun80,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_80flag,Kljun_SiteOnly_80flag,Kljun_SiteOnly_80flag,NaN,Kljun_SiteOnly_80flag,
TBRG_Rain_Tower_28m,mm,TP39_PPT,ppt,Final_Filled,NaN,NaN,TP39_PPT_filled,TP39_PPT_filled,TP39_PPT_filled,TP39_PPT_filled,TP39_PPT_filled,
